permno,adate,qdate,public_date,bm,pe_exi,ps,pcf,roa,roe,ptb,divyield,TICKER
10104,5/31/2009,11/30/2009,1/31/2010,0.252,20.052,4.976,13.353,0.232,0.232,4.145,0.87%,ORCL
10104,5/31/2009,11/30/2009,2/28/2010,0.252,21.435,5.323,14.285,0.232,0.232,4.434,0.81%,ORCL
10104,5/31/2009,11/30/2009,3/31/2010,0.252,22.357,5.556,14.911,0.232,0.232,4.628,0.78%,ORCL
10104,5/31/2009,2/28/2010,4/30/2010,0.233,23.096,5.381,15.909,0.227,0.218,4.515,0.77%,ORCL
10104,5/31/2009,2/28/2010,5/31/2010,0.233,20.152,4.692,13.871,0.227,0.218,3.937,0.89%,ORCL
10104,5/31/2009,2/28/2010,6/30/2010,0.233,19.161,4.461,13.189,0.227,0.218,3.743,0.93%,ORCL
10104,5/31/2010,5/31/2010,7/31/2010,0.275,19.537,4.43,13.687,0.222,0.216,3.805,0.85%,ORCL
10104,5/31/2010,5/31/2010,8/31/2010,0.275,18.054,4.093,12.645,0.222,0.216,3.516,0.92%,ORCL
10104,5/31/2010,5/31/2010,9/30/2010,0.275,22.19,5.033,15.549,0.222,0.216,4.323,0.75%,ORCL
10104,5/31/2010,8/31/2010,10/31/2010,0.296,23.504,5.046,16.86,0.222,0.222,4.551,0.68%,ORCL
10104,5/31/2010,8/31/2010,11/30/2010,0.296,21.636,4.667,15.594,0.222,0.222,4.209,0.74%,ORCL
10104,5/31/2010,8/31/2010,12/31/2010,0.296,25.04,5.403,18.053,0.222,0.222,4.873,0.64%,ORCL
10104,5/31/2010,11/30/2010,1/31/2011,0.254,24.265,5.058,17.876,0.224,0.225,4.655,0.62%,ORCL
10104,5/31/2010,11/30/2010,2/28/2011,0.254,24.924,5.204,18.392,0.224,0.225,4.79,0.61%,ORCL
10104,5/31/2010,11/30/2010,3/31/2011,0.254,25.328,5.288,18.688,0.224,0.225,4.867,0.60%,ORCL
10104,5/31/2010,2/28/2011,4/30/2011,0.222,23.973,5.297,18.293,0.229,0.242,4.923,0.67%,ORCL
10104,5/31/2010,2/28/2011,5/31/2011,0.222,22.813,5.049,17.433,0.229,0.242,4.691,0.70%,ORCL
10104,5/31/2010,2/28/2011,6/30/2011,0.222,21.94,4.853,16.758,0.229,0.242,4.51,0.73%,ORCL
10104,5/31/2011,5/31/2011,7/31/2011,0.23,18.311,4.349,13.813,0.228,0.241,3.889,0.79%,ORCL
10104,5/31/2011,5/31/2011,8/31/2011,0.23,16.808,3.98,12.643,0.228,0.241,3.559,0.86%,ORCL
10104,5/31/2011,5/31/2011,9/30/2011,0.23,17.21,4.07,12.929,0.228,0.241,3.64,0.84%,ORCL
10104,5/31/2011,8/31/2011,10/31/2011,0.288,18.619,4.53,12.897,0.235,0.251,4.043,0.73%,ORCL
10104,5/31/2011,8/31/2011,11/30/2011,0.288,17.813,4.323,12.307,0.235,0.251,3.858,0.77%,ORCL
10104,5/31/2011,8/31/2011,12/31/2011,0.288,14.574,3.532,10.057,0.235,0.251,3.153,0.94%,ORCL
10104,5/31/2011,11/30/2011,1/31/2012,0.266,15.586,3.863,10.799,0.232,0.245,3.382,0.85%,ORCL
10104,5/31/2011,11/30/2011,2/29/2012,0.266,16.163,3.969,11.095,0.232,0.245,3.475,0.82%,ORCL
10104,5/31/2011,11/30/2011,3/31/2012,0.266,16.11,3.953,11.05,0.232,0.245,3.461,0.82%,ORCL
10104,5/31/2011,2/29/2012,4/30/2012,0.294,15.474,3.955,10.864,0.232,0.244,3.412,0.82%,ORCL
10104,5/31/2011,2/29/2012,5/31/2012,0.294,13.932,3.511,9.644,0.232,0.244,3.028,0.91%,ORCL
10104,5/31/2011,2/29/2012,6/30/2012,0.294,15.632,3.921,10.771,0.232,0.244,3.382,0.81%,ORCL
10104,5/31/2012,5/31/2012,7/31/2012,0.337,15.408,3.972,10.729,0.224,0.239,3.371,0.80%,ORCL
10104,5/31/2012,5/31/2012,8/31/2012,0.337,16.148,4.119,11.126,0.224,0.239,3.496,0.76%,ORCL
10104,5/31/2012,5/31/2012,9/30/2012,0.337,16.051,4.084,11.032,0.224,0.239,3.466,0.76%,ORCL
10104,5/31/2012,8/31/2012,10/31/2012,0.283,15.386,4.056,10.704,0.226,0.24,3.457,0.77%,ORCL
10104,5/31/2012,8/31/2012,11/30/2012,0.283,15.928,4.137,10.917,0.226,0.24,3.526,0.75%,ORCL
10104,5/31/2012,8/31/2012,12/31/2012,0.283,16.495,4.272,11.273,0.226,0.24,3.641,0.72%,ORCL
10104,5/31/2012,11/30/2012,1/31/2013,0.281,16.75,4.516,12.423,0.228,0.246,3.911,0.68%,ORCL
10104,5/31/2012,11/30/2012,2/28/2013,0.281,16.151,4.34,11.94,0.228,0.246,3.759,0.70%,ORCL
10104,5/31/2012,11/30/2012,3/31/2013,0.281,15.25,4.091,11.254,0.228,0.246,3.543,0.74%,ORCL
10104,5/31/2012,2/28/2013,4/30/2013,0.268,15.247,4.146,11.228,0.223,0.245,3.553,0.73%,ORCL
10104,5/31/2012,2/28/2013,5/31/2013,0.268,15.712,4.225,11.441,0.223,0.245,3.621,0.71%,ORCL
10104,5/31/2012,2/28/2013,6/30/2013,0.268,14.284,3.841,10.402,0.223,0.245,3.291,0.78%,ORCL
10104,5/31/2013,5/31/2013,7/31/2013,0.286,14.314,4.029,10.532,0.216,0.247,3.342,1.48%,ORCL
10104,5/31/2013,5/31/2013,8/31/2013,0.286,14.097,3.968,10.372,0.216,0.247,3.292,1.51%,ORCL
10104,5/31/2013,5/31/2013,9/30/2013,0.286,14.677,4.066,10.628,0.216,0.247,3.373,1.45%,ORCL
10104,5/31/2013,8/31/2013,10/31/2013,0.299,14.44,4.085,10.285,0.22,0.254,3.506,1.43%,ORCL
10104,5/31/2013,8/31/2013,11/30/2013,0.299,15.211,4.304,10.834,0.22,0.254,3.694,1.36%,ORCL
10104,5/31/2013,8/31/2013,12/31/2013,0.299,16.491,4.604,11.591,0.22,0.254,3.952,1.25%,ORCL
10104,5/31/2013,11/30/2013,1/31/2014,0.274,15.769,4.419,10.921,0.214,0.253,3.81,1.30%,ORCL
10104,5/31/2013,11/30/2013,2/28/2014,0.274,16.714,4.684,11.575,0.214,0.253,4.038,1.23%,ORCL
10104,5/31/2013,11/30/2013,3/31/2014,0.274,17.483,4.858,12.004,0.214,0.253,4.187,1.17%,ORCL
10104,5/31/2013,2/28/2014,4/30/2014,0.255,17.176,4.809,12.129,0.213,0.254,4.077,1.17%,ORCL
10104,5/31/2013,2/28/2014,5/31/2014,0.255,17.655,4.943,12.467,0.213,0.254,4.191,1.14%,ORCL
10104,5/31/2013,2/28/2014,6/30/2014,0.255,17.029,4.764,12.014,0.213,0.254,4.039,1.18%,ORCL
10104,5/31/2014,5/31/2014,7/31/2014,0.251,16.971,4.701,12.059,0.207,0.238,3.817,1.19%,ORCL
10104,5/31/2014,5/31/2014,8/31/2014,0.251,17.45,4.834,12.399,0.207,0.238,3.925,1.16%,ORCL
10104,5/31/2014,5/31/2014,9/30/2014,0.251,16.084,4.432,11.369,0.207,0.238,3.599,1.25%,ORCL
10104,5/31/2014,8/31/2014,10/31/2014,0.257,16.271,4.495,11.268,0.205,0.245,3.654,1.23%,ORCL
10104,5/31/2014,8/31/2014,11/30/2014,0.257,17.671,4.881,12.238,0.205,0.245,3.969,1.13%,ORCL
10104,5/31/2014,8/31/2014,12/31/2014,0.257,18.738,5.129,12.859,0.205,0.245,4.17,1.07%,ORCL
10104,5/31/2014,11/30/2014,1/31/2015,0.255,17.454,4.738,12.044,0.199,0.238,3.869,1.15%,ORCL
10104,5/31/2014,11/30/2014,2/28/2015,0.255,18.258,4.957,12.599,0.199,0.238,4.047,1.10%,ORCL
10104,5/31/2014,11/30/2014,3/31/2015,0.255,17.979,4.854,12.338,0.199,0.238,3.964,1.11%,ORCL
10104,5/31/2014,2/28/2015,4/30/2015,0.251,18.251,5.277,14.125,0.19,0.232,4.261,1.38%,ORCL
10104,5/31/2014,2/28/2015,5/31/2015,0.251,18.197,4.89,13.09,0.19,0.232,3.949,1.38%,ORCL
10104,5/31/2014,2/28/2015,6/30/2015,0.251,16.862,4.499,12.044,0.19,0.232,3.633,1.49%,ORCL
10104,5/31/2015,5/31/2015,7/31/2015,0.26,18.072,4.531,12.08,0.17,0.207,3.531,1.50%,ORCL
10104,5/31/2015,5/31/2015,8/31/2015,0.26,16.783,4.207,11.218,0.17,0.207,3.279,1.62%,ORCL
10104,5/31/2015,5/31/2015,9/30/2015,0.26,16.344,4.03,10.745,0.17,0.207,3.141,1.66%,ORCL
10104,5/31/2015,8/31/2015,10/31/2015,0.297,18.15,4.35,12.302,0.164,0.198,3.517,1.54%,ORCL
10104,5/31/2015,8/31/2015,11/30/2015,0.297,18.21,4.365,12.343,0.164,0.198,3.529,1.54%,ORCL
10104,5/31/2015,8/31/2015,12/31/2015,0.297,17.07,4.03,11.399,0.164,0.198,3.259,1.64%,ORCL
10104,5/31/2015,11/30/2015,1/31/2016,0.28,17.457,4.071,11.823,0.154,0.192,3.322,1.65%,ORCL
